time;V(/Vo);
0.000904291;1.03175;
0.000905291;1.03175;
0.000906291;1.03175;
0.000907291;1.03175;
0.000908291;1.03175;
0.000909291;1.03175;
0.000910291;1.03175;
0.000911291;1.03175;
0.000912291;1.03175;
0.000913291;1.03175;
0.000914291;1.03175;
0.000915291;1.03175;
0.000916291;1.03175;
0.000917291;1.03175;
0.000918291;1.03175;
0.000919291;1.03175;
0.000920291;1.03175;
0.000921291;1.03175;
0.000922291;1.03175;
0.000923291;1.03175;
0.000924291;1.03175;
0.000925291;1.03175;
0.000926291;1.03175;
0.000927291;1.03175;
0.000928291;1.03175;
0.000929291;1.03175;
0.000930291;1.03175;
0.000931291;1.03175;
0.000932291;1.03175;
0.000933291;1.03175;
0.000934291;1.03175;
0.000935291;1.03175;
0.000936291;1.03175;
0.000937291;1.03175;
0.000938291;1.03175;
0.000939291;1.03175;
0.000940291;1.03175;
0.000941291;1.03175;
0.000942291;1.03175;
0.000943291;1.03175;
0.000944291;1.03175;
0.000945291;1.03175;
0.000946291;1.03175;
0.000947291;1.03175;
0.000948291;1.03175;
0.000949291;1.03175;
0.000950291;1.03175;
0.000951291;1.03175;
0.000952291;1.03175;
0.000953291;1.03175;
0.000954291;1.03175;
0.000955291;1.03175;
0.000956291;1.03175;
0.000957291;1.03175;
0.000958291;1.03175;
0.000959291;1.03175;
0.000960291;1.03175;
0.000961291;1.03175;
0.000962291;1.03175;
0.000963291;1.03175;
0.000964291;1.03175;
0.000965291;1.03175;
0.000966291;1.03175;
0.000967291;1.03175;
0.000968291;1.03175;
0.000969291;1.03175;
0.000970291;1.03175;
0.000971291;1.03175;
0.000972291;1.03175;
0.000973291;1.03175;
0.000974291;1.03175;
0.000975291;1.03175;
0.000976291;1.03175;
0.000977291;1.03175;
0.000978291;1.03175;
0.000979291;1.03175;
0.000980291;1.03175;
0.000981291;1.03175;
0.000982291;1.03175;
0.000983291;1.03175;
0.000984291;1.03175;
0.000985291;1.03175;
0.000986291;1.03175;
0.000987291;1.03175;
0.000988291;1.03175;
0.000989291;1.03175;
0.000990291;1.03175;
0.000991291;1.03175;
0.000992291;1.03175;
0.000993291;1.03175;
0.000994291;1.03175;
0.000995291;1.03175;
0.000996291;1.03175;
0.000997291;1.03175;
0.000998291;1.03175;
0.000999291;1.03175;
0.00100029;1.03175;
0.00100129;1.03175;
0.00100229;1.03175;
0.00100329;1.03175;
0.00100429;1.03175;
0.00100529;1.03175;
0.00100629;1.03175;
0.00100729;1.03175;
0.00100829;1.03175;
0.00100929;1.03175;
0.00101029;1.03175;
0.00101129;1.03175;
0.00101229;1.03175;
0.00101329;1.03175;
0.00101429;1.03175;
0.00101529;1.03175;
0.00101629;1.03175;
0.00101729;1.03175;
0.00101829;1.03175;
0.00101929;1.03175;
0.00102029;1.03175;
0.00102129;1.03175;
0.00102229;1.03175;
0.00102329;1.03175;
0.00102429;1.03175;
0.00102529;1.03175;
0.00102629;1.03175;
0.00102729;1.03175;
0.00102829;1.03175;
0.00102929;1.03175;
0.00103029;1.03175;
0.00103129;1.03175;
0.00103229;1.03175;
0.00103329;1.03175;
0.00103429;1.03175;
0.00103529;1.03175;
0.00103629;1.03175;
0.00103729;1.03175;
0.00103829;1.03175;
0.00103929;1.03175;
0.00104029;1.03175;
0.00104129;1.03175;
0.00104229;1.03175;
0.00104329;1.03175;
0.00104429;1.03175;
0.00104529;1.03175;
0.00104629;1.03175;
0.00104729;1.03175;
0.00104829;1.03175;
0.00104929;1.03175;
0.00105029;1.03175;
0.00105129;1.03175;
0.00105229;1.03175;
0.00105329;1.03175;
0.00105429;1.03175;
0.00105529;1.03175;
0.00105629;1.03175;
0.00105729;1.03175;
0.00105829;1.03175;
0.00105929;1.03175;
0.00106029;1.03175;
0.00106129;1.03175;
0.00106229;1.03175;
0.00106329;1.03175;
0.00106429;1.03175;
0.00106529;1.03175;
0.00106629;1.03175;
0.00106729;1.03175;
0.00106829;1.03175;
0.00106929;1.03175;
0.00107029;1.03175;
0.00107129;1.03175;
0.00107229;1.03175;
0.00107329;1.03175;
0.00107429;1.03175;
0.00107529;1.03175;
0.00107629;1.03175;
0.00107729;1.03175;
0.00107829;1.03175;
0.00107929;1.03175;
0.00108029;1.03175;
0.00108129;1.03175;
0.00108229;1.03175;
0.00108329;1.03175;
0.00108429;1.03175;
0.00108529;1.03175;
0.00108629;1.03175;
0.00108729;1.03175;
0.00108829;1.03175;
0.00108929;1.03175;
0.00109029;1.03175;
0.00109129;1.03175;
0.00109229;1.03175;
0.00109329;1.03175;
0.00109429;1.03175;
0.00109529;1.03175;
0.00109629;1.03175;
0.00109729;1.03175;
0.00109829;1.03175;
0.00109929;1.03175;
0.00110029;1.03175;
0.00110129;1.03175;
0.00110229;1.03175;
0.00110329;1.03175;
0.00110429;1.03175;
0.00110529;1.03175;
0.00110629;1.03175;
0.00110729;1.03175;
0.00110829;1.03175;
0.00110929;1.03175;
0.00111029;1.03175;
0.00111129;1.03175;
0.00111229;1.03175;
0.00111329;1.03175;
0.00111429;1.03175;
0.00111529;1.03175;
0.00111629;1.03175;
0.00111729;1.03175;
0.00111829;1.03175;
0.00111929;1.03175;
0.00112029;1.03175;
0.00112129;1.03175;
0.00112229;1.03175;
0.00112329;1.03175;
0.00112429;1.03175;
0.00112529;1.03175;
0.00112629;1.03175;
0.00112729;1.03175;
0.00112829;1.03175;
0.00112929;1.03175;
0.00113029;1.03175;
