time;V(/VC1);
0.0093528;4.99957;
0.0093628;4.99957;
0.0093728;4.99958;
0.0093828;4.99958;
0.0093928;4.99958;
0.0094028;4.99959;
0.0094128;4.99959;
0.0094228;4.9996;
0.0094328;4.9996;
0.0094428;4.9996;
0.0094528;4.99961;
0.0094628;4.99961;
0.0094728;4.99962;
0.0094828;4.99962;
0.0094928;4.99962;
0.0095028;4.99963;
0.0095128;4.99963;
0.0095228;4.99963;
0.0095328;4.99964;
0.0095428;4.99964;
0.0095528;4.99965;
0.0095628;4.99965;
0.0095728;4.99965;
0.0095828;4.99966;
0.0095928;4.99966;
0.0096028;4.99966;
0.0096128;4.99967;
0.0096228;4.99967;
0.0096328;4.99967;
0.0096428;4.99968;
0.0096528;4.99968;
0.0096628;4.99968;
0.0096728;4.99969;
0.0096828;4.99969;
0.0096928;4.99969;
0.0097028;4.99969;
0.0097128;4.9997;
0.0097228;4.9997;
0.0097328;4.9997;
0.0097428;4.99971;
0.0097528;4.99971;
0.0097628;4.99971;
0.0097728;4.99972;
0.0097828;4.99972;
0.0097928;4.99972;
0.0098028;4.99972;
0.0098128;4.99973;
0.0098228;4.99973;
0.0098328;4.99973;
0.0098428;4.99973;
0.0098528;4.99974;
0.0098628;4.99974;
0.0098728;4.99974;
0.0098828;4.99974;
0.0098928;4.99975;
0.0099028;4.99975;
0.0099128;4.99975;
0.0099228;4.99975;
0.0099328;4.99976;
0.0099428;4.99976;
0.0099528;4.99976;
0.0099628;4.99976;
0.0099728;4.99977;
0.0099828;4.99977;
0.0099928;4.99977;
0.01;4.99977;
