time;V(/V2in);V(/Vl);
8.07135e-05;-1.07834;-2.98038;
8.10275e-05;-1.23109;-3.03863;
8.13415e-05;-1.38262;-3.09389;
8.16555e-05;-1.5328;-3.14609;
8.19695e-05;-1.68146;-3.19519;
8.22835e-05;-1.82846;-3.24115;
8.25975e-05;-1.97366;-3.2839;
8.29115e-05;-2.11691;-3.32342;
8.32255e-05;-2.25808;-3.35966;
8.35395e-05;-2.39702;-3.3926;
8.38535e-05;-2.5336;-3.42218;
8.41675e-05;-2.66768;-3.44839;
8.44815e-05;-2.79913;-3.47121;
8.47955e-05;-2.92782;-3.4906;
8.51095e-05;-3.05363;-3.50655;
8.54235e-05;-3.17642;-3.51904;
8.57375e-05;-3.29608;-3.52806;
8.60515e-05;-3.41249;-3.5336;
8.63655e-05;-3.52554;-3.53567;
8.66795e-05;-3.63511;-3.53424;
8.69935e-05;-3.7411;-3.52933;
8.73075e-05;-3.8434;-3.52094;
8.76215e-05;-3.94192;-3.50908;
8.79355e-05;-4.03654;-3.49376;
8.82495e-05;-4.12719;-3.475;
8.85635e-05;-4.21376;-3.45281;
8.88775e-05;-4.29618;-3.42721;
8.91915e-05;-4.37437;-3.39824;
8.95055e-05;-4.44825;-3.36592;
8.98195e-05;-4.51773;-3.33028;
9.01335e-05;-4.58277;-3.29135;
9.04475e-05;-4.64329;-3.24918;
9.07615e-05;-4.69923;-3.20381;
9.10755e-05;-4.75053;-3.15528;
9.13895e-05;-4.79715;-3.10364;
9.17035e-05;-4.83905;-3.04893;
9.20175e-05;-4.87617;-2.99123;
9.23315e-05;-4.90848;-2.93057;
9.26455e-05;-4.93596;-2.86702;
9.29595e-05;-4.95857;-2.80065;
9.32735e-05;-4.97629;-2.73152;
9.35875e-05;-4.98911;-2.65969;
9.39015e-05;-4.997;-2.58524;
9.42155e-05;-4.99997;-2.50824;
9.45295e-05;-4.99801;-2.42877;
9.48435e-05;-4.99113;-2.34691;
9.51575e-05;-4.97932;-2.26273;
