frequency;V(/Vo4) (gain);
3311.31;-0.353192;
3388.44;-0.337626;
3467.37;-0.322732;
3548.13;-0.308483;
3630.78;-0.294851;
3715.35;-0.281812;
3801.89;-0.26934;
3890.45;-0.257411;
3981.07;-0.246003;
4073.8;-0.235092;
4168.69;-0.224659;
4265.8;-0.214683;
4365.16;-0.205145;
4466.84;-0.196025;
4570.88;-0.187306;
4677.35;-0.17897;
4786.3;-0.171001;
4897.79;-0.163384;
5011.87;-0.156102;
5128.61;-0.149142;
5248.07;-0.14249;
5370.32;-0.136132;
5495.41;-0.130055;
5623.41;-0.124247;
5754.4;-0.118697;
5888.44;-0.113393;
6025.6;-0.108325;
6165.95;-0.103481;
6309.57;-0.0988527;
6456.54;-0.0944302;
6606.93;-0.0902044;
6760.83;-0.0861666;
6918.31;-0.0823087;
7079.46;-0.0786227;
7244.36;-0.0751009;
7413.1;-0.0717362;
7585.78;-0.0685216;
7762.47;-0.0654504;
7943.28;-0.0625163;
8128.31;-0.0597133;
8317.64;-0.0570355;
8511.38;-0.0544774;
8709.64;-0.0520336;
8912.51;-0.0496991;
9120.11;-0.047469;
9332.54;-0.0453387;
9549.93;-0.0433038;
9772.37;-0.0413599;
10000;-0.0395031;
10232.9;-0.0377294;
10471.3;-0.0360352;
10715.2;-0.0344169;
10964.8;-0.0328711;
11220.2;-0.0313947;
11481.5;-0.0299844;
11749;-0.0286373;
12022.6;-0.0273507;
12302.7;-0.0261217;
12589.3;-0.0249479;
12882.5;-0.0238268;
13182.6;-0.022756;
13489.6;-0.0217332;
13803.8;-0.0207563;
14125.4;-0.0198233;
14454.4;-0.0189322;
14791.1;-0.0180811;
15135.6;-0.0172682;
15488.2;-0.0164918;
15848.9;-0.0157503;
16218.1;-0.0150421;
16595.9;-0.0143657;
16982.4;-0.0137197;
17378;-0.0131028;
17782.8;-0.0125135;
18197;-0.0119508;
18620.9;-0.0114133;
19054.6;-0.0108999;
19498.4;-0.0104097;
19952.6;-0.00994148;
20417.4;-0.00949431;
20893;-0.00906724;
21379.6;-0.00865938;
21877.6;-0.00826985;
22387.2;-0.00789783;
22908.7;-0.00754254;
23442.3;-0.00720323;
23988.3;-0.00687917;
24547.1;-0.00656969;
25118.9;-0.00627412;
25704;-0.00599185;
26302.7;-0.00572227;
26915.3;-0.00546481;
27542.3;-0.00521894;
28183.8;-0.00498412;
28840.3;-0.00475987;
29512.1;-0.0045457;
30199.5;-0.00434117;
30903;-0.00414583;
31622.8;-0.00395929;
32359.4;-0.00378113;
33113.1;-0.00361099;
33884.4;-0.00344851;
34673.7;-0.00329333;
35481.3;-0.00314514;
36307.8;-0.00300361;
37153.5;-0.00286845;
38018.9;-0.00273937;
38904.5;-0.0026161;
39810.7;-0.00249838;
40738;-0.00238595;
41686.9;-0.00227858;
42658;-0.00217604;
43651.6;-0.00207811;
44668.4;-0.0019846;
45708.8;-0.00189528;
46773.5;-0.00180999;
47863;-0.00172854;
48977.9;-0.00165075;
50118.7;-0.00157646;
51286.1;-0.00150552;
52480.7;-0.00143776;
53703.2;-0.00137306;
54954.1;-0.00131127;
56234.1;-0.00125225;
57544;-0.0011959;
58884.4;-0.00114208;
60256;-0.00109068;
61659.5;-0.00104159;
63095.7;-0.000994717;
64565.4;-0.00094995;
66069.3;-0.000907198;
67608.3;-0.000866369;
69183.1;-0.000827378;
70794.6;-0.000790142;
72443.6;-0.000754581;
74131;-0.000720621;
75857.8;-0.000688189;
77624.7;-0.000657217;
79432.8;-0.000627639;
81283.1;-0.000599391;
83176.4;-0.000572415;
85113.8;-0.000546653;
87096.4;-0.000522051;
89125.1;-0.000498555;
91201.1;-0.000476117;
93325.4;-0.000454689;
95499.3;-0.000434225;
97723.7;-0.000414682;
100000;-0.000396019;
