frequency;V(/Vo3) (gain);
9332.54;-38.437;
9549.93;-38.6381;
9772.37;-38.8391;
10000;-39.0401;
10232.9;-39.2411;
10471.3;-39.442;
10715.2;-39.6429;
10964.8;-39.8438;
11220.2;-40.0446;
11481.5;-40.2453;
11749;-40.4461;
12022.6;-40.6468;
12302.7;-40.8474;
12589.3;-41.0481;
12882.5;-41.2487;
13182.6;-41.4493;
13489.6;-41.6498;
13803.8;-41.8504;
14125.4;-42.0509;
14454.4;-42.2514;
14791.1;-42.4518;
15135.6;-42.6523;
15488.2;-42.8527;
15848.9;-43.0531;
16218.1;-43.2535;
16595.9;-43.4538;
16982.4;-43.6542;
17378;-43.8545;
17782.8;-44.0548;
18197;-44.2552;
18620.9;-44.4554;
19054.6;-44.6557;
19498.4;-44.856;
19952.6;-45.0562;
20417.4;-45.2565;
20893;-45.4567;
21379.6;-45.6569;
21877.6;-45.8572;
22387.2;-46.0574;
22908.7;-46.2575;
23442.3;-46.4577;
23988.3;-46.6579;
24547.1;-46.8581;
25118.9;-47.0582;
25704;-47.2584;
26302.7;-47.4585;
26915.3;-47.6587;
27542.3;-47.8588;
28183.8;-48.0589;
28840.3;-48.2591;
29512.1;-48.4592;
30199.5;-48.6593;
30903;-48.8594;
31622.8;-49.0595;
32359.4;-49.2596;
33113.1;-49.4597;
33884.4;-49.6598;
34673.7;-49.8599;
35481.3;-50.0599;
36307.8;-50.26;
37153.5;-50.4601;
38018.9;-50.6602;
38904.5;-50.8602;
39810.7;-51.0603;
40738;-51.2603;
41686.9;-51.4604;
42658;-51.6605;
43651.6;-51.8605;
44668.4;-52.0606;
45708.8;-52.2606;
46773.5;-52.4607;
47863;-52.6607;
48977.9;-52.8607;
50118.7;-53.0608;
51286.1;-53.2608;
52480.7;-53.4609;
53703.2;-53.6609;
54954.1;-53.8609;
56234.1;-54.061;
57544;-54.261;
58884.4;-54.461;
60256;-54.661;
61659.5;-54.8611;
63095.7;-55.0611;
64565.4;-55.2611;
66069.3;-55.4611;
67608.3;-55.6612;
69183.1;-55.8612;
70794.6;-56.0612;
72443.6;-56.2612;
74131;-56.4612;
75857.8;-56.6613;
77624.7;-56.8613;
79432.8;-57.0613;
81283.1;-57.2613;
83176.4;-57.4613;
85113.8;-57.6613;
87096.4;-57.8614;
89125.1;-58.0614;
91201.1;-58.2614;
93325.4;-58.4614;
95499.3;-58.6614;
97723.7;-58.8614;
100000;-59.0614;
